name,id,from,to,text
2 - 1 - 1.1 Overview Text Mining and Analytics- Part 1 (00-11-43).srt,1,0.012,6.665,[SOUND] In 
2 - 1 - 1.1 Overview Text Mining and Analytics- Part 1 (00-11-43).srt,2,6.665,11.7,this lecture we give an overview of Text Mining and Analytics. 
2 - 1 - 1.1 Overview Text Mining and Analytics- Part 1 (00-11-43).srt,3,13.743,19.83,_First, let's define the term text mining, and the term text analytics. _
2 - 1 - 1.1 Overview Text Mining and Analytics- Part 1 (00-11-43).srt,4,19.83,24.2,The title of this course is called Text Mining and Analytics. 
2 - 1 - 1.1 Overview Text Mining and Analytics- Part 1 (00-11-43).srt,5,25.59,31.25,_But the two terms text mining, and text analytics are actually roughly the same. _
2 - 1 - 1.1 Overview Text Mining and Analytics- Part 1 (00-11-43).srt,6,32.67,36.37,_So we are not really going to really distinguish them, and _
2 - 1 - 1.1 Overview Text Mining and Analytics- Part 1 (00-11-43).srt,7,36.37,38.23,we're going to use them interchangeably. 
2 - 1 - 1.1 Overview Text Mining and Analytics- Part 1 (00-11-43).srt,8,38.23,42.88,But the reason that we have chosen to use 
2 - 1 - 1.1 Overview Text Mining and Analytics- Part 1 (00-11-43).srt,9,42.88,47.72,_both terms in the title is because there is also some subtle difference, _
2 - 1 - 1.1 Overview Text Mining and Analytics- Part 1 (00-11-43).srt,10,47.72,51.07,if you look at the two phrases literally. 
2 - 1 - 1.1 Overview Text Mining and Analytics- Part 1 (00-11-43).srt,11,52.11,55.64,Mining emphasizes more on the process. 
2 - 1 - 1.1 Overview Text Mining and Analytics- Part 1 (00-11-43).srt,12,55.64,61.683,So it gives us a error rate medical view of the problem. 
2 - 1 - 1.1 Overview Text Mining and Analytics- Part 1 (00-11-43).srt,13,61.683,66.359,_Analytics, on the other hand emphasizes more on the result, _
2 - 1 - 1.1 Overview Text Mining and Analytics- Part 1 (00-11-43).srt,14,67.6,69.9,or having a problem in mind. 
2 - 1 - 1.1 Overview Text Mining and Analytics- Part 1 (00-11-43).srt,15,69.9,74.72,We are going to look at text data to help us solve a problem. 
2 - 1 - 1.1 Overview Text Mining and Analytics- Part 1 (00-11-43).srt,16,76.01,79.94,_But again as I said, we can treat these two terms roughly the same. _
2 - 1 - 1.1 Overview Text Mining and Analytics- Part 1 (00-11-43).srt,17,81.15,84.82,And I think in the literature you probably will find the same. 
2 - 1 - 1.1 Overview Text Mining and Analytics- Part 1 (00-11-43).srt,18,84.82,87.82,So we're not going to really distinguish that in the course. 
2 - 1 - 1.1 Overview Text Mining and Analytics- Part 1 (00-11-43).srt,19,89.85,95.45,Both text mining and text analytics mean that we 
2 - 1 - 1.1 Overview Text Mining and Analytics- Part 1 (00-11-43).srt,20,95.45,100.25,_want to turn text data into high quality information, or actionable knowledge. _
2 - 1 - 1.1 Overview Text Mining and Analytics- Part 1 (00-11-43).srt,21,102.57,104.02000000000001,_So in both cases, we _
2 - 1 - 1.1 Overview Text Mining and Analytics- Part 1 (00-11-43).srt,22,105.83,110.67,have the problem of dealing with a lot of text data and we hope to. 
2 - 1 - 1.1 Overview Text Mining and Analytics- Part 1 (00-11-43).srt,23,110.67,116.09,Turn these text data into something more useful to us than the raw text data. 
